Pitch Number,Startup Name,Got Deal
1,AvaTheElephant,1
2,Mr.Tod'sPieFactory,1
3,Wispots,0
4,CollegeFoxesPackingBoxes,0
5,IonicEar,0
6,APerfectPear,1
7,ClassroomJams,1
8,Lifebelt,0
9,CrookedJaw,0
10,StickyNoteHolder,0
11,Turbobaster,1
12,StressFreeKids,1
13,KwyztaChopstickArt,0
14,50StateCapitalsin50Minutes,0
15,VoyageAirGuitar,0
16,GiftCardRescue,1
17,Coverplay,1
18,GraffitiRemovalServices,0
19,SoulsCalling,0
20,CoffeeBrandGifts,0
21,MyTherapyJournal,1
22,BodyJac,1
23,GoodGriefCelebrations,0
24,GranolaGourmet,0
25,FaceBlok,0
26,PorkBarrelBBQSauce,1
27,ElementBars,1
28,UndereaseUnderwear,0
29,KalyxTechnologies,0
30,TheFizz,0
31,Soy-Yer-Dough,1
32,GrillCharmsSet,1
33,BoogieBoxFitness,0
34,TheFunhouseProject,0
35,TreasureChestPets,1
36,Notehall,1
37,Throx,0
38,WashedUpHollywood,0
39,GaylaBentleyFashion,1
40,ChillSoda,1
41,CornucopiaExpress,0
42,Virtusphere,0
43,TheUROClub,1
44,JumpForward,1
45,TheBobblePlace,0
46,Mr.Poncho,0
47,HellsBellsHelmets,1
48,ChefInBlack,1
49,InkFlip,0
50,RompN’Roll,0
51,TheTwister,0
52,GreaseMonkeyWipes,1
53,WeeCanShop,0
54,ThePodillow,0
55,TheFactionist,0
56,Caffeindicator,1
57,LipstickRemix,1
58,LegalGrind,0
59,CaptainIceCream,0
60,Nubrella,1
61,Qubits,1
62,SendABall,0
63,PillarsofSlippers,0
64,LlamaBrew,0
65,WurkinStiffs,1
66,TippiToes,1
67,CBSFoods,0
68,CopadiVino,0
69,Toygaroo,1
70,FirstDefenseNasalScreen,1
71,Vurtego,0
72,Waken'Bacon,0
73,ModMomFurniture,1
74,Flipoutz,1
75,FitnessStride,0
76,PureAyre,0
77,BroccoliWad,1
78,HillbillyBrand,1
79,Ride-OnCarry-On,1
80,UncleZip'sBeefJerky,0
81,Lightfilm,1
82,FridgeFronts,1
83,NewEraBrands,0
84,ThinGloss,0
85,SweepEasy,1
86,DaisyCakes,1
87,HotMamaGowns,0
88,CaddySwag,0
89,Hydromax,1
90,CarsikBib,0
91,Ecomowers,0
92,Games2U,0
93,HyConn,1
94,Origaudio,1
95,ManCandle,0
96,OriginalRunnerCompany,0
97,AldoOrtaJewelry,1
98,OneSole,1
99,CitiKitty,1
100,SamsonMartin,0
101,EZVIP,1
102,TheCleanBottle,1
103,MyWonderfulLife,0
104,BusinessGhost,0
105,IWantToDrawACatForYou,1
106,Salespreneur,0
107,Invis-A-Rack,0
108,VegasMagicShow,0
109,YouSmellSoap,1
110,ChordBuddy,1
111,LiquidMoney,0
112,TailLightz,0
113,WineBalloon,1
114,ShowNo,1
115,TheSwilt,0
116,PuppyCake,0
117,TheLastLid,1
118,TalbottTeas,1
119,M3GirlDesigns,1
120,LedgePillow,0
121,ReaderestSpecsecure,1
122,ThePaintedPretzel,1
123,EssoWatches,0
124,FiveMinuteFurniture,0
125,Kisstixx,1
126,TheSmartBaker,1
127,ScotteVest,0
128,TheHeatHelper,0
129,Litter,1
130,Nardo'sNatural,1
131,TheOriginalProfender,0
132,Rent-A-Grandma,0
133,TowerPaddleBoards,1
134,MisoMedia,1
135,InstantLifts,0
136,Vinamor,0
137,GoGoGear,1
138,TheAveVenice,0
139,Brewer’sCow,0
140,Bark’em’sToGo,0
141,ViewSport,0
142,BlondiesCookies,0
143,CopadiVino Texas,0
144,TheSullivanGenerator,0
145,Lollacup,1
146,NailPak,1
147,DebbieBrooksHandbags,0
148,TrimiTank,0
149,VillyCustoms,1
150,BootIllusions,1
151,AirBedz,0
152,Skyride,0
153,DanceWithMe,1
154,WildSquirrelNutButter,1
155,MixBikini,1
156,Cab20RockBand,0
157,RemyxxReKixxSneakers,1
158,UniKeyTechnologies,1
159,TheNitroForceTitan1000,0
160,CougarLimited,0
161,BevBuckle,1
162,BuggyBeds,1
163,CoatChex,0
164,BodyWalking,0
165,SurfSetFitness,1
166,CateApp,1
167,AlphaM,0
168,eCreamery,0
169,RockBands,1
170,PostureNow,1
171,FuzziBunz,0
172,LizLovelyCookies,0
173,BagBowl,1
174,Back9Dips,1
175,LiftHamper,0
176,Zomm,0
177,CozyBugs,1
178,MarzSprays,1
179,WiredWaffles,0
180,TheSpattyandTheSpaddyDadd,0
181,PRO-NRG,1
182,CousinsMaineLobster,1
183,FreakerUSA,0
184,EcoNutsSoap,0
185,SBU,1
186,ScrubDaddy,1
187,TheShemie,0
188,TheBear&TheRat,0
189,TheCoolWazoo,1
190,PlateTopper,1
191,NoFlyCone,0
192,DriveSuits,1
193,IceChipsCandy,1
194,ReVestor,0
195,PCClassesOnline,0
196,RuckPackCombatNutrition,1
197,NearlyNewlywed,0
198,TieTry,0
199,CorksAway,0
200,TheLivingChristmasCompany,1
201,TheCoop,1
202,PartiePoche,0
203,FatAssFudge,0
204,HotTot,1
205,TheGameFaceCompany,1
206,DuraTent,0
207,ARKEG,0
208,CoffeeJoulies,1
209,TeddyNeeds,1
210,Urbio,1
211,SubZeroIceCream,0
212,SoundBender,1
213,BibitecBibs,0
214,CuddleStoryTellingBear,0
215,InvisibleXeroShoes,0
216,HoodiePillow,1
217,GetGrinds,1
218,GreenGarmento,0
219,MyColdSnap,0
220,TheSmartWheel,1
221,HDYRSushiBars,1
222,GottaHaveS'More,0
223,PrettyPaddedRoom,0
224,Addison'sWonderland,0
225,HipChicks,0
226,ProofEyeWear,0
227,MuddyWaterCamo,0
228,JeskaShoeCompany,1
229,NutsnMore,1
230,NeoInnovations,0
231,PSIBands,0
232,CordaRoy'sBeanBagBeds,1
233,Lose12,1
234,BabyLovesDisco,0
235,CellHelmet,0
236,CoolWraps,1
237,SimpleSugarScrubs,1
238,DropStop,1
239,TraditionalFisheries,0
240,GOBIEH20,1
241,LiddUpCoolers,1
242,Rootsuit,0
243,EchoValleyMeats,0
244,WickedGoodCupCakes,1
245,TheMissionBelt,1
246,ShellBobbers,1
247,TremontElectric,0
248,Me-Ma'sGumboBricks,1
249,MistoBoxCoffeeClub,1
250,VermontButcherBlock,0
251,SquirrelBossBirdFeeder,0
252,PinkShutterPhotoBooths,1
253,KazAMBalancingBike's,1
254,Baby'sBadassBurgers,0
255,TrackDays,0
256,StellaValleJewelry,1
257,GeekChic,1
258,LugLess,0
259,JonesScones,0
260,Ryan'sBarkery,1
261,VerbalizeItApp,1
262,TomnChee,1
263,ThreeDayRule,0
264,SweetBallz,1
265,PostcardontheRun,1
266,LynnaesGourmetPickles,0
267,RoloDoc,0
268,Kane&CoutureDogClothes,1
269,Breathometer,1
